"* Required Fields","* Campos obrigatórios"
"YYYY","AAAA"
"Action","Ação"
"Added From","Adicionado de"
"Add New Customer","Adicionar novo cliente"
"Add New Address","Adicionar novo endereço"
"Add New Customer Group","Adicionar novo grupo de clientes"
"Admin","Admin"
"Change Billing Address","Alterar endereço de cobrança"
"Change Shipping Address","Alterar endereço de envio"
"Change Password","Alterar senha"
"Change Account Password","Alterar senha da conta"
"Year","Ano"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Ao criar uma conta na nossa loja, você será capaz de finalizar sua compra com mais agilidade, registrar múltiplos endereços de envio, ver e rastrear seus pedidos e muito mais"
"Customers Only","Apenas clientes"
"Visitors Only","Apenas visitantes"
"Customer Api","API do cliente"
"Approved","Aprovado"
"Password fields can't be empty.","As senhas não podem estar vazias."
"Last Activity","Última atividade"
"Last date subscribed","Última data de assinatura"
"Last date unsubscribed","Última data de cancelamento de assinatura"
"Last Url","Último URL"
"Last 5 Orders","Últimos 5 pedidos"
"Last Viewed Items","Últimos itens vistos"
"Subscribe","Assinar"
"Subscribe to newsletter","Assinar boletim informativo"
"Sign Up for Newsletter","Assinar boletim informativo"
"General Subscription","Assinatura comum"
"Newsletter Subscription","Assinatura do boletim informativo"""
"Sign up for our newsletter","Assine nosso boletim informativo"
"Assign a customer group","Associar um grupo de clientes"
"Subject","Assunto"
"Update","Atualizar"
"Update customer data","Atualizar dados do cliente"
"Update customer address data","Atualizar dados do endereço do cliente"
"Newsletter","Boletim informativo"
"Newsletter Received","Boletim informativo recebido"
"Newsletters","Boletins informativos"
"Cancel","Cancelar"
"Unsubscribe from newsletter","Cancelar assinatura do boletim informativo"
"Shopping Cart","Carrinho de compras"
"Shopping Cart - %d item(s)","Carrinho de compras - %d item(s)"
"ZIP","CEP"
"ZIP/Post Code","CEP"
"ZIP/Postal Code","CEP"
"Zip/Postal Code","CEP"
"New account confirmation key","Chave de confirmação de uma nova conta"
"Wrong confirmation key.","Chave de confirmação incorreta."
"City","Cidade"
"Tax Class","Classe de impostos"
"Tax class","Classe de impostos"
"Customer","Cliente"
"Customer Since","Cliente desde"
"Customer doesn't have primary billing address","Cliente não tem endereço de cobrança primário"
"Registered Customers","Cliente registrado"
"Customers","Clientes"
"Online Customers","Clientes online"
"Bill to Name","Cobrar do nome"
"Customer collection expected","Coleção de clientes esperada"
"Entity collection is expected","Coleção de entidade é esperada"
"Share Customer Accounts","Compartilhar contas de clientes"
"Bought From","Comprado de"
"Purchase On","Comprado em"
"Purchased at","Comprado em"
"Config","Config"
"Customer Configuration","Configuração de cliente"
"Confirmed","Confirmado"
"Confirm New Password","Confirmar nova senha"
"Confirm Password","Confirmar senha"
"Wrong customer account specified.","Conta de usuário incorreta."
"Continue Shopping","Continuar comprando"
"Tax/VAT number","CPF"
"TAX/VAT number is required.","CPF é obrigatório."
"Create","Criar"
"Create customer","Criar cliente"
"Create customer address","Criar endereço do cliente"
"Create New Customer Account","Criar nova conta de cliente"
"Create Order","Criar pedido"
"Create an Account","Criar uma conta"
"CSV","CSV"
"Invalid customer data","Dados de cliente inválidos"
"Date","Data"
"Date Added","Data adicionada"
"Date of Birth","Data de nascimento"
"Date of Birth is required.","Data de nascimento é obrigatório."
"DD","DD"
"Set as Default Billing Address","Definir como endereço padrão de cobrança"
"Set as Default Shipping Address","Definir como endereço padrão de envio"
"Leave empty for default (15 minutes).","Deixe vazio para utilizar o padrão (15 minutos)"
"Leave empty for default (2). Valid range: 1-4","Deixe vazio para utilizar o padrão (2). Intervalo válido: 1-4"
"Disabled","Desabilitado"
"Unknown","Desconhecido"
"User description","Descrição de usuário"
"Details","Detalhes"
"Day","Dia"
"Days in Wishlist","Dias na lista de desejos"
"Default Email Domain","Domínio de e-mail padrão"
"Email","E-mail"
"Confirmation Link Email","E-mail com link de confirmação"
"Welcome Email","E-mail de boas-vindas"
"Customer email already exists","E-mail de cliente já existe"
"Wrong email.","E-mail incorreto."
"Default Welcome Email","E-mail padrão de boas-vindas"
"Edit","Editar"
"Edit Newsletter Subscription","Editar assinatura do boletim informativo"
"Edit Newsletters","Editar boletim informativos"
"Edit Address","Editar endereço"
"Edit Customer's Address","Editar endereço de cliente"
"Edit Address Entry","Editar entrada de endereço"
"Edit Group","Editar grupo"
"Edit Customer Group ""%s""","Editar grupo de clientes ""%s"""
"Edit Customer Groups","Editar grupos de clientes"
"Edit Account Information","Editar informações da conta"
"Edit Account Info","Editar informações da conta"
"Edit Personal Information","Editar informações pessoais"
"Company","Empresa"
"Address","Endereço"
"Street Address ","Endereço da rua"
"Street Address","Endereço da rua"
"Email Address","Endereço de e-mail"
"Invalid email address ""%s""","Endereço de e-mail ""%s"" é inválido"
"Invalid email address","Endereço de e-mail inválido"
"IP Address","Endereço IP"
"Default Billing Address","Endereço padrão de cobrança"
"Default Shipping Address","Endereço padrão de envio"
"Primary Billing Address","Endereço primário de cobrança"
"Primary Shipping Address","Endereço primário de envio"
"Addresses","Endereços"
"Customer Addresses","Endereços de cliente"
"Default Addresses","Endereços padrões"
"Additional Address Entries","Entradas de endereços adicionais"
"Login","Entrar"
"Log In","Entrar"
"Login or Create an Account","Entrar ou criar uma conta"
"Log in or Create an Account","Entrar ou criar uma conta"
"Sent","Enviado"
"Shipped to Name","Enviado para o nome"
"Shipped to First Name","Enviado para o nome"
"Shipped to Last Name","Enviado para o sobrenome"
"Sending","Enviando"
"Submit","Enviar"
"Send welcome email","Enviar e-mail de boas-vindas"
"Send Welcome Email after Confirmation","Enviar e-mail de boas-vindas após confirmação"
"Send confirmation link","Enviar link de confirmação"
"Ship to First name","Enviar para o nome"
"Ship to Last name","Enviar para o sobrenome"
"Send auto-generated password","Enviar senha gerada automaticamente"
"Error during retrieval of option value: %s","Erro durante a recuperação do valor: %s"
"Forgot Email Template","Esqueceu modelo de e-mail"
"Forgot Email Sender","Esqueceu remetente de e-mail"
"Forgot Your Password?","Esqueceu sua senha?"
"This account is not confirmed.","Esta conta não foi confirmada."
"State/Province","Estado"
"Sales Statistics","Estatísticas de Vendas"
"This is My Primary %s Address","Este é meu endereço %s primário"
"This customer has no saved addresses.","Este cliente não tem endereços salvos."
"This e-mail does not require confirmation.","Este e-mail não requer confimação."
"This Email will be sent instead of Default Welcome Email, after Account Confirmation.","Este e-mail será enviado após a confirmação da conta, ao invés do e-mail padrão de boas-vindas."
"This email address was not found in our records","Este endereço de e-mail não foi encontrado nos nossos registros"
"Delete","Excluir"
"Delete customer","Excluir cliente"
"Delete Customer","Excluir cliente"
"Delete Address","Excluir endereço"
"Delete customer address","Excluir endereço do cliente"
"Delete Customer Group","Excluir grupo de clientes"
"Deleted Stores","Excluir lojas"
"Failed to confirm customer account.","Falha ao confirmar conta do cliente"
"Missing email, skipping the record","Faltando e-mail, parando a gravação"
"Missing firstname, skipping the record","Faltando nome, parando a gravação"
"Missing lastname, skipping the record","Faltando sobrenome, parando a gravação"
"Fax","Fax"
"Newsletter Finish","Fim do boletim informativo"
"Password Management","Gerenciamento de senha"
"Manage Customers","Gerenciar clientes"
"Manage Addresses","Gerenciar endereços"
"Global","Global"
"Group","Grupo"
"Group ""%s"" can not be deleted","Grupo ""%s"" não pode ser excluído"
"Customer Group","Grupo de clientes"
"Customer Group was successfully deleted","Grupo de clientes foi excluído com sucesso"
"Customer Group was successfully saved","Grupo de clientes foi salvo com sucesso"
"Invalid attribute set specified, skipping the record","Grupo inválido de atributos especificado, parando a gravação"
"Default Group","Grupo padrão"
"Customer Groups","Grupos de clientes"
"Session Start Time","Horário de início da sessão"
"HTML","HTML"
"ID","ID"
"Wrong region id by selected country","ID da região incorreto por país selecionado"
"SKU","ID do produto"
"Product ID","ID do produto (Product ID)"
"Customer website id must be specified, when using website scope.","ID do site do cliente precisa ser especificado quando usado o escopo do site."
"Newsletter Start","Início do boletim informativo"
"Contact Information","Informação de contato"
"Account Information","Informações da conta"
"Account information was successfully saved","Informações da conta foram salvas com sucesso"
"Customer Information","Informações de cliente"
"Billing Information","Informações de cobrança"
"Address Information","Informações de endereço"
"Login Information","Informações de entrada"
"Shipping Information","Informações de envio"
"Group Information","Informações de grupo"
"Newsletter Information","Informações do boletim informativo"
"Personal Information","Informações pessoais"
"Online Minutes Interval","Intervalo de minutos online"
"Go to Address Book","Ir para a lista de endereços"
"Items Order","Itens do pedido"
"Subscribed to Newsletter?","Já assina nossa boletim informativo?"
"Wishlist","Lista de desejos"
"Wishlist - %d item(s)","Lista de desejos - %d item(s)"
"Address Book","Lista de endereços"
"Order List...","Lista de pedidos..."
"Store","Loja"
"Invalid store specified, skipping the record","Loja especificada inválida, parando a gravação"
"M.I.","M.I."
"Average Sale","Média de vendas"
"Shipping Method","Método de envio"
"Payment Method","Método de pagamento"
"Month","Mês"
"My Dashboard","Meu painel"
"My Orders","Meus pedidos"
"My Account","Minha conta"
"My Wishlist","Minha lista de desejos"
"My Reviews","Minhas opiniões"
"My Tags","Minhas tags"
"MM","MM"
"Show Tax/VAT number","Mostrar CPF"
"Show date of birth","Mostrar data de nascimento"
"Show middle name (initial)","Mostrar nome do meio (inicial)"
"Show prefix","Mostrar prefixo"
"Show suffix","Mostrar sufixo"
"n/a","n/a"
"Not confirmed, cannot login","Não confirmado, não pode entrar"
"Not confirmed, can login","Não confirmado, pode entrar"
"Not Sent","Não enviado"
"Can't share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged.","Não foi possível compartilhar contas dos clientes globalmente. Algumas contas dos clientes com os mesmos e-mails existem em múltiplos websites e não podem ser unidos."
"Can't save customer","Não foi possível salvar cliente"
"Can't save address","Não foi possível salvar endereço"
"There are no items in customer's wishlist at the moment","Não há itens na lista de desejos do cliente no momento"
"There are no items in customer's shopping cart at the moment","Não há itens no carrinho de compras do cliente no momento"
"Number of lines in a street address ","Número de linhas em um endereço "
"No Newsletter Found","Nenhum boletim informativo foi encontrado"
"No item specified.","Nenhum item especificado."
"No Items Found","Nenhum item foi encontrado"
"No product collections found","Nenhuma coleção de produtos foi encontrada"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","No painel da sua conta você pode ver uma fotografia das atividades recentes da sua conta e atualizar suas informações. Selecione o link abaixo para ver ou editar suas informações."
"Name","Nome"
"First Name","Nome"
"Tag Name","Nome da tag"
"Customer Login","Nome de usuário do cliente"
"Login and password are required","Nome de usuário e senha são obrigatórios"
"Invalid login or password.","Nome de usuário ou senha inválidos"
"Group Name","Nome do grupo"
"Product name","Nome do produto"
"Product Name","Nome do produto"
"First name can't be empty","Nome não pode estar vazio"
"New account","Nova conta"
"New account confirmed","Nova conta confirmada"
"New Address Entry","Nova entrada de endereço"
"New password","Nova senha"
"New Password","Nova senha"
"New Customer","Novo cliente"
"New Address","Novo endereço"
"New Customer Address","Novo endereço de cliente"
"New Group","Novo grupo"
"New Customer Group","Novo grupo de clientes"
"New Customers","Novos clientes"
"New Customer Groups","Novos grupos de clientes"
"Never","Nunca"
"Your account balance is: %s","O balanço de sua conta é: %s"
"The address was successfully deleted","O endereço foi excluído com sucesso"
"The address was successfully saved","O endereço foi salvo com sucesso"
"The address does not belong to this customer","O endereço não pertence a este cliente"
"Thank you for registering with %s","Obrigado por registrar-se com %s"
"Retrieve customers","Obter clientes"
"Retrieve address data","Obter dados do endereço"
"Retrieve customer data","Obter dados dos clientes"
"Retrieve customer addresses","Obter endereços dos clientes"
"Retrieve customer's groups","Obter grupos do cliente"
"Retrieve address info","Obter informações do endereço"
"Retrieve customers info","Obter informações dos clientes"
"Retrieve your confirmation link here","Obter seu link de confirmação aqui"
"There was an error while deleting the address","Ocorreu um erro ao excluir o endereço"
"Offline","Offline"
"Hello, %s!","Olá, %s!"
"Online","Online"
"Invalid option id specified for %s (%s), skipping the record","Opção de ID especificada inválida para %s (%s), parando a gravação"
"Invalid attribute option specified for attribute %s (%s), skipping the record","Opção inválida de atributo especificada para o atributo %s (%s), parando a gravação"
"Account Sharing Options","Opções da conta para compartilhamento"
"Create New Account Options","Opções de criação de nova conta"
"Name and Address Options","Opções de nome e endereço"
"Password Options","Opções de senha"
"Online Customers Options","Opções do cliente online"
"Prefix dropdown options","Opções dropdown do prefixo"
"Suffix dropdown options","Opções dropdown do sufixo"
"Product Reviews","Opiniões do produto"
"or","ou"
"Country","País"
"Account Dashboard","Painel da conta"
"My Account Dashboard","Painel da minha conta"
"To Cart","Para o carrinho de compras"
"Paused","Parado"
"PDF","PDF"
"Order #","Pedido número"
"Order #%s (%s)","Pedido número %s (%s)"
"Orders","Pedidos"
"Recent Orders","Pedidos recentes"
"Pending","Pendente"
"Please enter your email below and we'll send you confirmation link for it.","Por favor, insira seu e-mail abaixo e enviaremos um link de confirmação para isto."
"Please enter your email below and we'll send you a new password.","Por favor, insira seu e-mail abaixo e enviaremos uma nova senha."
"Please enter your email.","Por favor, insira seu e-mail."
"Please select","Por favor, selecione"
"Please select region, state or province","Por favor, selecione o estado"
"Please make sure your passwords match.","Por favor, tenha certeza que as senhas são iguais."
"Please, check your e-mail for confirmation key.","Por favor, verifique seu e-mail para chave de confirmação."
"Per Website","Por website"
"Price","Preço"
"Ext. Price","Preço extendido"
"Prefix","Prefixo"
"Problem saving the collection, aborting. Error: %s","Problema salvando a coleção, abortando. Erro: %s"
"Product","Produto"
"Skip import row, website ""%s"" field not exists","Pular importação da linha, campo ""%s"" do website não existe"
"Skip import row, required field ""%s"" not defined","Pular importação da linha, campo obrigatório ""%s"" não definido"
"Qty","Qtde"
"Amount","Quantia"
"Retrieve your password here","Recuperar sua senha aqui"
"Refunded","Reembolsado"
"Records for ""","Registros para """
"Email Sender","Remetente do e-mail"
"Remove","Remover"
"Require Emails Confirmation","Requerido confirmação por e-mail"
"Log Out","Sair"
"Save","Salvar"
"Save Customer","Salvar cliente"
"Save And Continue Edit","Salvar e continuar editando"
"Save Address","Salvar endereço"
"Save Customer Group","Salvar grupo de clientes"
"Save Password","Salvar senha"
"Saved ","Salvo "
"If you have an account with us, please log in.","Se você tem uma conta conosco, por favor entre."
"Customers Section","Seção de clientes"
"Always optional","Sempre opcional"
"Password","Senha"
"Current Password","Senha atual"
"Invalid current password","Senha atual inválida"
"Password minimal length must be more %s","Senha deve ter no mínimo %s caracteres"
"Password must have at least 6 characters. Leading or trailing spaces will be ignored.","Senha deve ter pelo menos 6 caracteres. Espaços antes ou depois serão ignorados."
"Password forgotten","Senha esquecida"
"Password can't be empty","Senha não pode estar vazia"
"Last Name","Sobrenome"
"Last name can't be empty","Sobrenome não pode estar vazio"
"Bad request.","Solicitação incorreta."
"Status","Status"
"Suffix","Sufixo"
"The suffix that goes after name (Jr., Sr., etc.)","Sufixo do nome (Jr., Sr., etc.)"
"Product Tags","Tags do produto"
"The title that goes before name (Mr., Mrs., etc.)","Título do nome (Mr., Mrs., etc.)"
"Telephone","Telefone"
"Lifetime Sales","Tempo de vida das vendas"
"Text","Texto"
"Type","Tipo"
"Wrong transactional account email type.","Tipo de e-mail da conta transacional incorreto"
"All Store Views","Todas visões da loja"
"All countries","Todos países"
"Total","Total"
"Grand Total","Total"
"Order Total","Total do pedido"
"Grand Total: %s","Total: %s"
"All","Tudo"
"Text One Line","Uma linha de texto"
"A new password was sent","Uma nova senha foi enviada"
"Use as my default billing address","Usar como endereço padrão de cobrança"
"Use as my default shipping address","Usar como endereço padrão de envio"
"Use as My Primary %s Address","Usar meu endereço %s primário"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Valores separados por ponto e vírgula (;). Coloque ponto e vírgula no início para deixar em branco a primeira opção.<br/>Deixe vazio para abrir campo de texto."
"Array of Entity collections is expected","Vetor de coleções de entidades é esperado"
"Store View","Visão da loja"
"Customer View","Visão do cliente"
"Visible In","Visível em"
"Visitor","Visitante"
"Guest","Visitante"
"View","Visualizar"
"View Order List","Visualizar lista de pedidos"
"View Order","Visualizar pedido"
"You have placed no orders yet.","Você ainda não fez nenhum pedido."
"You have placed no products yet.","Você ainda não solicitou produtos."
"You have been successfully logged out and will be redirected to our homepage in 5 seconds.","Você desconectou com sucesso e será redirecionado para nossa página principal em 5 segundos."
"You're now Logged Out","Você está desconectado"
"You are currently subscribed to our newsletter","Você está inscrito em nosso boletim informativo"
"You are currently subscribed to our newsletter.","Você está inscrito em nosso boletim informativo."
"You are currently subscribed to 'General Subscription'.","Você está inscrito na 'assinatura comum'."
"You have not set a primary billing address.","Você não definiu um endereço primário de cobrança."
"You have not set a primary shipping address.","Você não definiu um endereço primário de envio."
"You are currently not subscribed to any newsletter.","Você não está inscrito em nenhum boletim informativo."
"You are currently not subscribed to our newsletter","Você não está inscrito em nosso boletim informativo"
"You have no additional entries in your address book.","Você não possui entradas adicionais em sua lista de endereços."
"You have no additional address entries in your address book.","Você não possui entradas de endereços adicionais em sua lista de endereços."
"You have no primary entries in your address book.","Você não possui entradas primárias em sua lista de endereços."
"You have no default billing address in your address book.","Você não possui um endereço padrão de cobrança em sua lista de endereços."
"You have no default shipping address in your address book.","Você não possui um endereço padrão de envio em sua lista de endereços."
"Are you sure you want to cancel adding of this address?","Você tem certeza que deseja cancelar a inserção deste endereço?"
"Are you sure you want to delete this address?","Você tem certeza que deseja remover este endereço?"
"Are you sure that you want to remove this item?","Você tem certeza que deseja remover este item?"
"Are you sure?","Você tem certeza?"
"Back","Voltar"
"Back to Login","Voltar para entrar"
"Website","Website"
"XML","XML"
